# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000003 033333.3  008200 000024.0 00006 000107 001.1 004.0  004104 000012.0 00003 000106 001.1 003.9  002056 000006.0 00001 000106 001.1 003.9  001032 000003.0 00000 000106 001.1 003.9
000000004 025000.0  008200 000032.0 00008 000107 001.1 004.0  004104 000016.0 00004 000107 001.1 004.0  002056 000008.0 00002 000107 001.1 004.0  001032 000004.0 00001 000107 001.1 004.0
000000005 020000.0  008200 000040.0 00010 000111 001.1 004.1  004104 000020.0 00005 000106 001.1 003.9  002056 000010.0 00002 000107 001.1 004.0  001032 000005.0 00001 000107 001.1 004.0
000000006 016666.7  008200 000048.0 00012 000103 001.0 003.8  004104 000024.0 00006 000102 001.0 003.8  002056 000012.0 00003 000102 001.0 003.8  001032 000006.0 00001 000102 001.0 003.8
000000008 012500.0  008200 000064.1 00016 000102 001.0 003.8  004104 000032.1 00008 000102 001.0 003.8  002056 000016.1 00004 000102 001.0 003.8  001032 000008.1 00002 000102 001.0 003.8
000000010 010000.0  008200 000080.1 00020 000102 001.0 003.8  004104 000040.1 00010 000102 001.0 003.8  002056 000020.1 00005 000102 001.0 003.8  001032 000010.1 00002 000102 001.0 003.8
000000012 008333.3  008200 000096.1 00024 000102 001.0 003.8  004104 000048.1 00012 000102 001.0 003.8  002056 000024.1 00006 000102 001.0 003.8  001032 000012.1 00003 000103 001.0 003.8
000000016 006250.0  008200 000128.1 00032 000102 001.0 003.8  004104 000064.1 00016 000102 001.0 003.8  002056 000032.1 00008 000102 001.0 003.8  001032 000016.1 00004 000102 001.0 003.8
000000020 005000.0  008200 000160.2 00040 000102 001.0 003.8  004104 000080.2 00020 000107 001.1 004.0  002056 000040.2 00010 000107 001.1 004.0  001032 000020.2 00005 000107 001.1 004.0
000000024 004166.7  008200 000192.2 00048 000106 001.1 003.9  004104 000096.2 00024 000107 001.1 004.0  002056 000048.2 00012 000107 001.1 004.0  001032 000024.2 00006 000106 001.1 003.9
000000032 003125.0  008200 000256.2 00064 000107 001.1 004.0  004104 000128.2 00032 000107 001.1 004.0  002056 000064.2 00016 000107 001.1 004.0  001032 000032.2 00008 000106 001.1 003.9
000000040 002500.0  008200 000320.3 00080 000107 001.1 004.0  004104 000160.3 00040 000110 001.1 004.1  002056 000080.3 00020 000107 001.1 004.0  001032 000040.3 00010 000107 001.1 004.0
000000048 002083.3  008200 000384.4 00096 000107 001.1 004.0  004104 000192.4 00048 000103 001.0 003.8  002056 000096.4 00024 000104 001.0 003.8  001032 000048.4 00012 000102 001.0 003.8
000000064 001562.5  008200 000512.5 00128 000246 002.5 009.1  004104 000256.5 00064 000102 001.0 003.8  002056 000128.5 00032 000102 001.0 003.8  001032 000064.5 00016 000102 001.0 003.8
000000080 001250.0  008200 000640.6 00160 000246 002.5 009.1  004104 000320.6 00080 000103 001.0 003.8  002056 000160.6 00040 000102 001.0 003.8  001032 000080.6 00020 000102 001.0 003.8
000000096 001041.7  008200 000768.8 00192 000246 002.5 009.1  004104 000384.8 00096 000105 001.1 003.9  002056 000192.8 00048 000103 001.0 003.8  001032 000096.8 00024 000111 001.1 004.1
000000128 000781.2  008200 001025.0 00256 000246 002.5 009.1  004104 000513.0 00128 000246 002.5 009.1  002056 000257.0 00064 000102 001.0 003.8  001032 000129.0 00032 000103 001.0 003.8
000000160 000625.0  008200 001281.2 00320 000246 002.5 009.1  004104 000641.2 00160 000246 002.5 009.1  002056 000321.2 00080 000102 001.0 003.8  001032 000161.2 00040 000102 001.0 003.8
000000192 000520.8  008200 001537.5 00384 000246 002.5 009.1  004104 000769.5 00192 000245 002.5 009.1  002056 000385.5 00096 000104 001.0 003.8  001032 000193.5 00048 000102 001.0 003.8
000000256 000390.6  008200 002050.0 00512 000246 002.5 009.1  004104 001026.0 00256 000245 002.5 009.1  002056 000514.0 00128 000174 001.7 006.4  001032 000258.0 00064 000102 001.0 003.8
000000320 000312.5  008200 002562.5 00640 000245 002.5 009.1  004104 001282.5 00320 000245 002.5 009.1  002056 000642.5 00160 000174 001.7 006.4  001032 000322.5 00080 000102 001.0 003.8
000000384 000260.4  008200 003075.0 00768 000245 002.5 009.1  004104 001539.0 00384 000246 002.5 009.1  002056 000771.0 00192 000175 001.8 006.5  001032 000387.0 00096 000106 001.1 003.9
000000512 000195.3  008200 004100.0 01025 000246 002.5 009.1  004104 002052.0 00513 000246 002.5 009.1  002056 001028.0 00257 000174 001.7 006.4  001032 000516.0 00129 000138 001.4 005.1
000000640 000156.2  008200 005125.0 01281 000327 003.3 012.1  004104 002565.0 00641 000329 003.3 012.2  002056 001285.0 00321 000174 001.7 006.4  001032 000645.0 00161 000141 001.4 005.2
000000768 000130.2  008200 006150.0 01537 000383 003.8 014.2  004104 003078.0 00769 000383 003.8 014.2  002056 001542.0 00385 000177 001.8 006.5  001032 000774.0 00193 000141 001.4 005.2
000001024 000097.7  008200 008200.0 02050 000450 004.5 016.6  004104 004104.0 01026 000450 004.5 016.6  002056 002056.0 00514 000380 003.8 014.1  001032 001032.0 00258 000343 003.4 012.7
000001280 000078.1  008200 010250.0 02562 000452 004.5 016.7  004104 005130.0 01282 000450 004.5 016.6  002056 002570.0 00642 000379 003.8 014.0  001032 001290.0 00322 000343 003.4 012.7
000001536 000065.1  008200 012300.0 03075 000451 004.5 016.7  004104 006156.0 01539 000450 004.5 016.6  002056 003084.0 00771 000379 003.8 014.0  001032 001548.0 00387 000344 003.4 012.7
000002048 000048.8  008200 016400.0 04100 000515 005.2 019.1  004104 008208.0 02052 000558 005.6 020.6  002056 004112.0 01028 000379 003.8 014.0  001032 002064.0 00516 000350 003.5 012.9
000002560 000039.1  008200 020500.0 05125 000677 006.8 025.0  004104 010260.0 02565 000700 007.0 025.9  002056 005140.0 01285 000381 003.8 014.1  001032 002580.0 00645 000343 003.4 012.7
